amyvid (0002-1200)
solu-cortef (0009-0013)
solu-cortef (0009-0016)
halcion (0009-0017)
solu-medrol (0009-0018)
medrol (0009-0020)
medrol (0009-0022)
xanax (0009-0029)
cortef (0009-0031)
solu-medrol (0009-0039)
cortef (0009-0044)
solu-medrol (0009-0047)
provera (0009-0050)
xanax (0009-0055)
medrol (0009-0056)
xanax (0009-0057)
xanax (0009-0059)
provera (0009-0064)
xanax (0009-0066)
xanax (0009-0068)
medrol (0009-0073)
depo-testosterone (0009-0085)
depo-testosterone (0009-0086)
xanax (0009-0090)
xanax (0009-0094)
medrol (0009-0176)
cleocin hydrochloride (0009-0225)
bacitracin (0009-0233)
bacitracin (0009-0234)
bacitracin (0009-0241)
colestid (0009-0260)
depo-estradiol (0009-0271)
depo-medrol (0009-0274)
depo-medrol (0009-0280)
provera (0009-0286)
cleocin phosphate (0009-0302)
depo-medrol (0009-0306)
cleocin hydrochloride (0009-0331)
glynase (0009-0341)
depo-testosterone (0009-0347)
glynase (0009-0352)
flavored colestid (0009-0370)
cleocin hydrochloride (0009-0395)
depo-testosterone (0009-0417)
r-gene (0009-0436)
colestid (0009-0450)
depo-testosterone (0009-0520)
lincocin (0009-0555)
cleocin phosphate (0009-0602)
depo-provera (0009-0626)
solu-medrol (0009-0698)
cleocin phosphate (0009-0728)
depo-provera (0009-0746)
solu-medrol (0009-0758)
cleocin pediatric (0009-0760)
cleocin phosphate (0009-0775)
solu-cortef (0009-0825)
prostin (0009-0827)
hemabate (0009-0856)
cleocin phosphate (0009-0870)
cleocin phosphate (0009-0901)
cleocin phosphate (0009-0902)
camptosar (0009-1111)
depo-medrol (0009-3073)
cleocin t (0009-3116)
cleocin phosphate (0009-3124)
prostin (0009-3169)
cleocin t (0009-3329)
cleocin t (0009-3331)
prepidil (0009-3359)
cleocin phosphate (0009-3375)
cleocin phosphate (0009-3381)
cleocin phosphate (0009-3382)
cleocin phosphate (0009-3447)
cleocin (0009-3448)
glynase (0009-3449)
cleocin phosphate (0009-3470)
depo-medrol (0009-3475)
caverject (0009-3701)
corvert (0009-3794)
detrol (0009-4541)
detrol (0009-4544)
depo-subq provera (0009-4709)
zyvox (0009-4992)
glyset (0009-5012)
glyset (0009-5013)
glyset (0009-5014)
ellence (0009-5091)
ellence (0009-5093)
zyvox (0009-5135)
zyvox (0009-5136)
zyvox (0009-5137)
zyvox (0009-5138)
zyvox (0009-5139)
zyvox (0009-5140)
caverject impulse (0009-5181)
caverject impulse (0009-5182)
detrol la (0009-5190)
detrol la (0009-5191)
nicotrol (0009-5400)
nicotrol (0009-5401)
cleocin phosphate (0009-6582) (standalone) (0009-6582)
cleocin phosphate (0009-6780)
atgam (0009-7224)
depo-provera (0009-7376)
camptosar (0009-7529)
aromasin (0009-7663)
cleocin (0009-7667)
caverject (0009-7686)
zyvox (0009-7807)
cleocin phosphate (0009-9890)
azulfidine (0013-0101)
azulfidine (0013-0102)
emcyt (0013-0132)
cyklokapron (0013-1114)
estring (0013-2150)
idamycin pfs (0013-2576)
idamycin pfs (0013-2586)
idamycin pfs (0013-2596)
mycobutin (0013-5301)
xalatan (0013-8303)
zinecard (0013-8717)
zinecard (0013-8727)
megace (0015-0508)
lysodren (0015-3080)
etopophos (0015-3404)
cysto-conray ii (0019-0862)
conray 30 (0019-0952)
conray (0019-0953)
optimark (0019-1177)
sodium chloride (0019-1188)
md-76r (0019-1317)
optiray (0019-1323)
optiray (0019-1324)
optiray (0019-1332)
optiray (0019-1333)
conray 43 (0019-3183)
md gastroview (0019-4816)
tazorac (0023-0042)
pred-g (0023-0066)
pred-g (0023-0106)
refresh p.m. (0023-0240)
refresh lacri-lube (0023-0312)
blephamide (0023-0313)
fml (0023-0316)
refresh plus (0023-0403)
refresh classic (0023-0506)
asacol (0023-0752)
refresh tears (0023-0798)
botox (0023-1145)
acular (0023-2181)
lumigan (0023-3205)
refresh optive (0023-3240)
ozurdex (0023-3348)
refresh optive (0023-3416)
vivite daily facial moisturizer with sunscreen spf 30 (0023-3459)
acuvail (0023-3507)
zymaxid (0023-3615)
latisse (0023-3616)
aczone (0023-3670)
botox cosmetic (0023-3919)
botox (0023-3921)
lastacaft (0023-4290)
refresh optive advanced (0023-4307)
betagan (0023-4385)
refresh optive advanced (0023-4491)
refresh celluvisc (0023-4554)
vaniqa (0023-4857)
skin medica purifying foaming wash (0023-4948)
skinmedica tns ultimate daily moisturizer sunscreen spf 20 (0023-4953)
skinmedica daily physical defense spf 30 sunscreen (0023-4963)
skinmedica environmental defense sunscreen spf 50 (0023-4964)
skinmedica acne treatment (0023-4965)
aczone (dapsone) gel, 7.5% (0023-5206)
rhofade (0023-5300)
restasis multidose (0023-5301)
refresh optive gel drops (0023-5459)
total defense repair broad spectrum spf 34 sunscreen (0023-5494)
total defense repair broad spectrum spf 34 sunscreen (tinted) (0023-5497)
total defense repair broad spectrum spf 50 sunscreen (0023-5501)
essential defense vital hydration broad spectrum spf 36 sunscreen tinted (0023-5665)
essential defense mineral shield broad spectrum spf 32 tinted sunscreen (0023-5675)
essential defense active broad spectrum spf 50 sunscreen (0023-5679)
essential defense mineral shield broad spectrum spf 35 sunscreen (0023-5703)
essential defense everyday clear broad spectrum spf 47 sunscreen (0023-5738)
refresh optive mega-3 (0023-5773)
gelnique (0023-5812)
delzicol (0023-5853)
liletta (0023-5858)
gelnique (0023-5861)
femring (0023-5868)
femring (0023-5869)
cordran (0023-5870)
byvalson (0023-5874)
asacol hd (0023-5901)
nuvessa (0023-5920)
androderm (0023-5990)
androderm (0023-5992)
norco (0023-6002)
fiorinal with codeine (0023-6010)
kadian (0023-6011)
kadian (0023-6012)
kadian (0023-6013)
kadian (0023-6014)
kadian (0023-6015)
kadian (0023-6016)
kadian (0023-6017)
kadian (0023-6018)
kadian (0023-6019)
norco (0023-6021)
norco (0023-6022)
zenpep (0023-6112)
polytrim (0023-7824)
tazorac (0023-8335)
azelex (0023-8694)
alocril (0023-8842)
tazorac (0023-9155)
tazorac (0023-9156)
restasis (0023-9163)
alphagan p (0023-9177)
elestat (0023-9201)
refresh liquigel (0023-9205)
combigan (0023-9211)
botox cosmetic (0023-9232)
avage (0023-9236)
acular ls (0023-9277)
alphagan p (0023-9321)
demerol (0024-0335)
demerol (0024-0337)
drisdol (0024-0393)
eloxatin (0024-0590)
eloxatin (0024-0591)
phisohex (0024-1535)
plaquenil (0024-1562)
primaquine phosphate (0024-1596)
ferrlecit (0024-2792)
ferrlecit (0024-2794)
multaq (0024-4142)
ambien (0024-5401)
ambien (0024-5421)
ambien (0024-5501)
ambien (0024-5521)
adlyxin (0024-5747)
soliqua 100/33 (0024-5761)
xyzal (0024-5800)
xyzal (0024-5801)
aplenzin (0024-5812)
zaltrap (0024-5840)
zaltrap (0024-5841)
leukine (0024-5843)
leukine (0024-5844)
avapro (0024-5850)
avapro (0024-5851)
avapro (0024-5852)
avalide (0024-5855)
avalide (0024-5856)
clolar (0024-5860)
mozobil (0024-5862)
toujeo (0024-5869)
afrezza (0024-5874)
praluent (0024-5901)
praluent (0024-5902)
praluent (0024-5903)
praluent (0024-5904)
kevzara (0024-5908)
kevzara (0024-5910)
dupixent (0024-5914)
clolar (0024-5917)
lomotil (0025-0061)
synarel (0025-0166)
aldactone (0025-1001)
aldactazide (0025-1011)
aldactazide (0025-1021)
aldactone (0025-1031)
aldactone (0025-1041)
daypro (0025-1381)
arthrotec (0025-1411)
arthrotec (0025-1421)
cytotec (0025-1451)
cytotec (0025-1461)
celebrex (0025-1515)
celebrex (0025-1520)
celebrex (0025-1525)
celebrex (0025-1530)
inspra (0025-1710)
inspra (0025-1720)
flagyl (0025-1821)
flagyl (0025-1831)
calan (0025-1851)
calan (0025-1861)
calan sr (0025-1891)
calan sr (0025-1901)
calan sr (0025-1911)
flagyl (0025-1942)
norpace cr (0025-2732)
norpace cr (0025-2742)
norpace (0025-2752)
norpace (0025-2762)
bactroban (0029-1526)
bactroban (0029-1527)
childrens dimetapp cold and cough (0031-2234)
childrens dimetapp cold and allergy (0031-2235)
childrens dimetapp long acting cough plus cold (0031-2238)
childrens dimetapp nighttime cold and congestion (0031-2247)
childrens dimetapp multi-symptom cold and flu (0031-2249)
childrens dimetapp multi-symptom cold relief dye-free (0031-2295)
robitussin medi-soothers cough dm (0031-8649)
robitussin 12 hour cough relief (0031-8655)
childrens robitussin nighttime cough long-acting dm (0031-8692)
childrens robitussin cough and cold long-acting (0031-8693)
childrens robitussin cough long-acting (0031-8694)
robitussin to go cough and chest congestion dm (0031-8712)
robitussin to go cough and cold cf (0031-8713)
childrens robitussin cough and chest congestion dm (0031-8715)
childrens robitussin cough and cold cf (0031-8716)
robitussin maximum strength nighttime cough dm (0031-8717)
robitussin maximum strength nighttime cough dm (0031-8718)
robitussin maximum strength cough plus chest congestion dm (0031-8719)
robitussin peak cold daytime cold plus flu (0031-8721)
robitussin peak cold nighttime cold plus flu (0031-8722)
robitussin mucus plus chest congestion (0031-8724)
childrens robitussin 12 hour cough relief (0031-8725)
childrens robitussin 12 hour cough relief (0031-8726)
robitussin peak cold nasal relief (0031-8731)
robitussin peak cold nighttime nasal relief (0031-8732)
robitussin peak cold maximum strength multi-symptom cold (0031-8734)
robitussin peak cold nighttime multi-symptom cold (0031-8735)
robitussin peak cold cough plus chest congestion dm (0031-8736)
robitussin peak cold sugar-free cough plus chest congestion dm (0031-8737)
robitussin peak cold maximum strength cough plus chest congestion dm (0031-8738)
robitussin maximum strength cough plus chest congestion dm (0031-8739)
robitussin lingering cold long-acting cough (0031-8740)
robitussin lingering cold long-acting coughgels (0031-8741)
robitussin peak cold multi-symptom cold (0031-8742)
robitussin maximum strength severe cough plus sore throat (0031-8750)
robitussin severe multi-symptom cough cold flu (0031-8751)
robitussin severe multi-symptom cough cold flu nighttime (0031-8752)
robitussin 12 hour cough relief (0031-8753)
robitussin 12 hour cough relief (0031-8754)
robitussin 12 hour cough relief (0031-8755)
creon (0032-1203)
creon (0032-1206)
creon (0032-1212)
creon (0032-1224)
prometrium (0032-1708)
prometrium (0032-1711)
creon (0032-3016)
sfrowasa (0037-0022)
rowasa (0037-0066)
preferaob (0037-0084)
preferaob one (0037-0086)
butisol sodium (0037-0113)
astepro (0037-0243)
dymista (0037-0245)
felbatol (0037-0430)
felbatol (0037-0431)
felbatol (0037-0442)
gastrocrom (0037-0678)
cesamet (0037-1221)
soma (0037-2001)
soma (0037-2250)
demadex (0037-3500)
demadex (0037-3505)
demadex (0037-3510)
demadex (0037-3520)
depen (0037-4401)
elestrin (0037-4801)
edluar (0037-6010)
edluar (0037-6050)
natelle one (0037-6072)
urelle (0037-6321)
avc (0037-6631)
colyte (0037-6820)
proctofoam (0037-6822)
proctofoam (0037-6823)
epifoam (0037-6824)
cortifoam (0037-6830)
dipentum (0037-6860)
biferarx (0037-6885)
optivar (0037-7025)
aerospan (0037-7590)
muse (0037-8110)
muse (0037-8120)
muse (0037-8130)
muse (0037-8140)
levsin (0037-9001)
diabeta (0039-0051)
diabeta (0039-0052)
diabeta (0039-0053)
lasix (0039-0060)
lasix (0039-0066)
lasix (0039-0067)
amaryl (0039-0221)
amaryl (0039-0222)
amaryl (0039-0223)
oral-b neutracare mint (0041-0241)
oral-b minute-foam banana splitz (0041-0340)
oral-b minute-foam mellow mint (0041-0341)
oral-b minute-foam orang-a-tangy (0041-0342)
oral-b minute-foam bubble gum (0041-0345)
oral-b minute-foam strawberry (0041-0346)
oral-b minute-foam grape punch (0041-0347)
oral-b neutra-foam mint (0041-0348)
oral-b (0041-1420)
oral-b (0041-1421)
premarin (0046-0749)
premarin (0046-0872)
premarin (0046-1100)
premarin (0046-1101)
premarin (0046-1102)
premarin (0046-1103)
premarin (0046-1104)
prempro (0046-1105)
prempro (0046-1106)
prempro (0046-1107)
prempro (0046-1108)
unasyn (0049-0013)
unasyn (0049-0014)
unasyn (0049-0022)
unasyn (0049-0023)
unasyn (0049-0024)
unasyn (0049-0031)
unasyn (0049-0032)
geodon (0049-0052)
geodon (0049-0054)
geodon (0049-0056)
geodon (0049-0058)
eraxis (0049-0114)
eraxis (0049-0116)
glucotrol (0049-0170)
glucotrol (0049-0174)
glucotrol (0049-0178)
pfizerpen (0049-0520)
pfizerpen (0049-0530)
geodon (0049-1203)
antivert (0049-2100)
antivert (0049-2110)
antivert (0049-2140)
relpax (0049-2330)
relpax (0049-2340)
cardura (0049-2710)
cardura (0049-2720)
cardura (0049-2750)
cardura (0049-2760)
cardura (0049-2770)
cardura (0049-2780)
vfend (0049-3160)
vfend (0049-3170)
vfend (0049-3180)
vfend (0049-3190)
diflucan (0049-3410)
diflucan (0049-3420)
diflucan (0049-3430)
diflucan (0049-3440)
diflucan (0049-3450)
diflucan (0049-3500)
geodon (0049-3920)
geodon (0049-3960)
geodon (0049-3970)
geodon (0049-3980)
geodon (0049-3990)
glucotrol (0049-4110)
glucotrol (0049-4120)
vfend (0049-4190)
zoloft (0049-4900)
zoloft (0049-4910)
zoloft (0049-4940)
zoloft (0049-4950)
zoloft (0049-4960)
marinol (0051-0021)
marinol (0051-0022)
marinol (0051-0023)
androgel (0051-8425)
androgel (0051-8450)
androgel (0051-8462)
remeron (0052-0105)
remeronsoltab (0052-0106)
remeron (0052-0107)
remeronsoltab (0052-0108)
remeron (0052-0109)
remeronsoltab (0052-0110)
saphris (0052-0118)
saphris (0052-0119)
implanon (0052-0272)
nuvaring (0052-0273)
nexplanon (0052-0274)
ganirelix acetate (0052-0301)
follistim aq (0052-0308)
follistim aq (0052-0309)
follistim aq (0052-0313)
follistim aq (0052-0316)
follistim aq (0052-0326)
zemuron (0052-0450)
tice bcg (0052-0602)
bcg vaccine (0052-0603)
saphris (0052-2139)
saphris (0052-2142)
nexplanon (0052-4330)
stimate (0053-6871)
albuminar-5 (0053-7670)
albuminar-25 (0053-7680)
fluconazole (0054-0002)
fluconazole (0054-0003)
calcitriol (0054-0007)
flecainide acetate (0054-0010)
flecainide acetate (0054-0011)
flecainide acetate (0054-0012)
prednisone (0054-0017)
prednisone (0054-0018)
prednisone (0054-0019)
lithium carbonate (0054-0020)
lithium carbonate (0054-0021)
mefloquine hydrochloride (0054-0025)
cilostazol (0054-0028)
clarithromycin (0054-0036)
clarithromycin (0054-0037)
cilostazol (0054-0044)
ipratropium bromide (0054-0045)
ipratropium bromide (0054-0046)
digoxin (0054-0057)
citalopram (0054-0062)
risperidone (0054-0063)
ondansetron hydrochloride (0054-0064)
torsemide (0054-0077)
balsalazide disodium (0054-0079)
exemestane (0054-0080)
zaleplon (0054-0084)
zaleplon (0054-0085)
zolpidem tartrate (0054-0086)
zolpidem tartrate (0054-0087)
calcium acetate (0054-0088)
galantamine (0054-0090)
galantamine (0054-0091)
galantamine (0054-0092)
oxcarbazepine (0054-0097)
oxcarbazepine (0054-0098)
oxcarbazepine (0054-0099)
amlodipine besylate (0054-0100)
amlodipine besylate (0054-0101)
amlodipine besylate (0054-0102)
ramipril (0054-0106)
ramipril (0054-0107)
ramipril (0054-0108)
ramipril (0054-0109)
perindopril erbumine (0054-0110)
perindopril erbumine (0054-0111)
perindopril erbumine (0054-0112)
valacyclovir (0054-0114)
valacyclovir (0054-0115)
ropinirole (0054-0116)
ropinirole (0054-0117)
ropinirole (0054-0118)
ropinirole (0054-0119)
ropinirole (0054-0120)
ropinirole (0054-0121)
ropinirole (0054-0122)
losartan potassium (0054-0123)
losartan potassium (0054-0124)
losartan potassium (0054-0125)
losartan potassium and hydrochlorothiazide (0054-0126)
losartan potassium and hydrochlorothiazide (0054-0127)
galantamine hydrobromide (0054-0137)
acarbose (0054-0140)
acarbose (0054-0141)
acarbose (0054-0142)
granisetron hydrochloride (0054-0143)
mycophenolate mofetil (0054-0163)
anastrozole (0054-0164)
mycophenolate mofetil (0054-0166)
buprenorphine hcl (0054-0176)
buprenorphine hcl (0054-0177)
buprenorphine hydrochloride and naloxone hydrochloride dihydrate (0054-0188)
buprenorphine hydrochloride and naloxone hydrochloride dihydrate (0054-0189)
famciclovir (0054-0196)
famciclovir (0054-0197)
famciclovir (0054-0198)
oxcarbazepine (0054-0199)
protriptyline hydrochloride (0054-0210)
protriptyline hydrochloride (0054-0211)
quetiapine fumarate (0054-0220)
quetiapine fumarate (0054-0221)
quetiapine fumarate (0054-0222)
quetiapine fumarate (0054-0223)
levetiracetam (0054-0224)
meloxicam (0054-0228)
quetiapine fumarate (0054-0229)
quetiapine fumarate (0054-0230)
morphine sulfate (0054-0235)
morphine sulfate (0054-0236)
morphine sulfate (0054-0237)
morphine sulfate (0054-0238)
codeine sulfate (0054-0243)
codeine sulfate (0054-0244)
codeine sulfate (0054-0245)
irbesartan (0054-0250)
irbesartan (0054-0251)
irbesartan (0054-0252)
irbesartan and hydrochlorothiazide (0054-0254)
irbesartan and hydrochlorothiazide (0054-0255)
montelukast sodium (0054-0259)
hydromorphone hydrochloride (0054-0264)
hydromorphone hydrochloride (0054-0265)
letrozole (0054-0269)
capecitabine (0054-0271)
capecitabine (0054-0272)
imipramine pamoate (0054-0273)
imipramine pamoate (0054-0274)
imipramine pamoate (0054-0275)
imipramine pamoate (0054-0276)
losartan potassium and hydrochlorothiazide (0054-0277)
naratriptan (0054-0278)
naratriptan (0054-0279)
oxymorphone hydrochloride (0054-0283)
oxymorphone hydrochloride (0054-0284)
montelukast sodium (0054-0288)
montelukast sodium (0054-0289)
eszopiclone (0054-0290)
eszopiclone (0054-0291)
eszopiclone (0054-0292)
azelastine hydrochloride (0054-0293)
alosetron hydrochloride (0054-0295)
alosetron hydrochloride (0054-0296)
linezolid (0054-0319)
temozolomide (0054-0320)
temozolomide (0054-0321)
temozolomide (0054-0322)
temozolomide (0054-0323)
temozolomide (0054-0324)
temozolomide (0054-0325)
cevimeline hydrochloride (0054-0334)
doxercalciferol (0054-0338)
doxercalciferol (0054-0339)
tinidazole (0054-0347)
tinidazole (0054-0348)
phenoxybenzamine hydrochloride (0054-0349)
disulfiram (0054-0356)
disulfiram (0054-0357)
sodium polystyrene sulfonate (0054-0379)
cyclophosphamide (0054-0382)
cyclophosphamide (0054-0383)
hydromorphone hydrochloride (0054-0386)
doxercalciferol (0054-0388)
methamphetamine hydrochloride (0054-0389)
oxycodone hydrochloride (0054-0390)
methadone hydrochloride (0054-0391)
methadone hydrochloride (0054-0392)
oxycodone hydrochloride (0054-0393)
dutasteride (0054-0395)
desvenlafaxine (0054-0400)
desvenlafaxine (0054-0401)
morphine sulfate (0054-0404)
ethacrynic acid (0054-0415)
dipyridamole (0054-0434)
dipyridamole (0054-0435)
dipyridamole (0054-0436)
levorphanol tartrate (0054-0438)
nevirapine (0054-0450)
nevirapine (0054-0459)
morphine sulfate (0054-0517)
oxycodone hydrochloride (0054-0522)
telmisartan (0054-0542)
telmisartan (0054-0543)
telmisartan (0054-0544)
telmisartan and hydrochlorothiazide (0054-0545)
telmisartan and hydrochlorothiazide (0054-0546)
telmisartan and hydrochlorothiazide (0054-0547)
lidocaine viscous (0054-0548)
oxycodone and acetaminophen (0054-0551)
aspirin and dipyridamole (0054-0575)
desvenlafaxine (0054-0603)
lithium carbonate (0054-2526)
lithium carbonate (0054-2527)
lithium carbonate (0054-2531)
alprazolam (0054-3068)
butorphanol tartrate (0054-3090)
calcium carbonate (0054-3117)
calcitriol (0054-3120)
dexamethasone intensol (0054-3176)
dexamethasone (0054-3177)
diazepam intensol (0054-3185)
diazepam (0054-3188)
diphenoxylate hydrochloride and atropine sulfate (0054-3194)
fluticasone propionate (0054-3270)
furosemide (0054-3294)
furosemide (0054-3298)
lactulose (0054-3486)
lidocaine viscous (0054-3500)
lidocaine hydrochloride (0054-3505)
lithium (0054-3527)
lorazepam (0054-3532)
megestrol acetate (0054-3542)
meperidine hydrochloride (0054-3545)
methadone hydrochloride (0054-3553)
methadone hydrochloride (0054-3555)
methadone hydrochloride (0054-3556)
midazolam hydrochloride (0054-3566)
milk of magnesia (0054-3567)
roxicet (0054-3686)
prednisone intensol (0054-3721)
prednisone (0054-3722)
propranolol hydrochloride (0054-3727)
propranolol hydrochloride (0054-3730)
calcium carbonate (0054-4120)
clotrimazole (0054-4146)
dexamethasone (0054-4179)
